Task,Task time,Index diff time,Start Time,End Time
u06_SNP_A0_5,250.058,249.332,1540480832101,1540481082159
u06_SNP_A0_6,117.494,117.156,1540481160772,1540481278266
u06_SNP_A0_7,68.327,68.128,1540481301829,1540481370156
u06_SNP_A0_1,31.11,31.02,1540481449936,1540481481046
u06_SNP_A0_2,100.946,100.656,1540481502929,1540481603875
u07_HA_A0_4,46.422,46.316,1536878332416,1536878378838
u07_HA_A0_5,96.768,96.544,1536878406049,1536878502817
u07_HA_A0_6,25.499,25.44,1536878578674,1536878604173
u07_HA_A0_7,16.819,16.78,1536878615565,1536878632384
u07_HA_A0_1,63.372,63.228,1536878673179,1536878736551
u07_HA_A0_2,32.496,32.42,1536878757199,1536878789695
u07_HA_A0_3,53.302,53.18,1536878792809,1536878846111
u07_JOY_A0_7,10.865,10.86,1539790112552,1539790123417
u07_JOY_A0_1,7.072,7.0680000000000005,1539790134529,1539790141601
u07_JOY_A0_2,13.356,13.352,1539790147351,1539790160707
u07_JOY_A0_3,24.961,24.948,1539790161682,1539790186643
u07_JOY_A0_4,21.033,21.024,1539790198274,1539790219307
u07_JOY_A0_5,31.975,31.956,1539790243196,1539790275171
u07_JOY_A0_6,13.912,13.904,1539790302821,1539790316733
u07_SNP_A0_3,44.566,44.464,1537538361156,1537538405722
u07_SNP_A0_4,109.356,109.10000000000001,1537538439717,1537538549073
u07_SNP_A0_5,163.33,162.952,1537538594442,1537538757772
u07_SNP_A0_6,37.688,37.6,1537538806697,1537538844385
u07_SNP_A0_7,30.023,29.952,1537538849588,1537538879611
u07_SNP_A0_1,25.618,25.556,1537538910873,1537538936491
u07_SNP_A0_2,17.435,17.396,1537538949159,1537538966594
u08_HA_A0_5,118.231,118.248,1544481737487,1544481855718
u08_HA_A0_6,14.985,14.988,1544481902466,1544481917451
u08_HA_A0_7,8.232,8.232,1544481920363,1544481928595
u08_HA_A0_1,113.194,113.212,1544481944437,1544482057631
u08_HA_A0_2,13.11,13.112,1544482060347,1544482073457
u08_HA_A0_3,54.843,54.852000000000004,1544482074773,1544482129616
u08_HA_A0_4,21.497,21.5,1544482157727,1544482179224
u08_JOY_A0_6,18.034,18.032,1543961247039,1543961265073
u08_JOY_A0_7,13.012,13.012,1543961271643,1543961284655
u08_JOY_A0_1,7.251,7.248,1543961309008,1543961316259
u08_JOY_A0_2,15.031,15.032,1543961322297,1543961337328
u08_JOY_A0_3,32.153,32.152,1543961338112,1543961370265
u08_JOY_A0_4,33.473,33.476,1543961394352,1543961427825
u08_JOY_A0_5,38.554,38.556,1543961462288,1543961500842
u08_SNP_A0_3,47.451,47.46,1543617321514,1543617368965
u08_SNP_A0_4,77.592,77.604,1543617428091,1543617505683
u08_SNP_A0_5,202.885,202.912,1543617556063,1543617758948
u08_SNP_A0_6,17.461,17.464,1543617843209,1543617860670
u08_SNP_A0_7,15.248,15.248000000000001,1543617866220,1543617881468
u08_SNP_A0_1,14.686,14.688,1543617900164,1543617914850
u08_SNP_A0_2,50.757,50.764,1543617930671,1543617981428
u09_HA_A0_3,17.083,17.052,1538580234938,1538580252021
u09_HA_A0_4,29.036,28.984,1538580282517,1538580311553
u09_HA_A0_5,99.169,98.98400000000001,1538580339609,1538580438778
u09_HA_A0_6,18.201,18.168,1538580466171,1538580484372
u09_HA_A0_7,14.741,14.712,1538580487321,1538580502062
u09_HA_A0_1,40.525,40.448,1538580510131,1538580550656
u09_HA_A0_2,14.165,14.136000000000001,1538580567292,1538580581457
u09_JOY_A0_1,17.94,17.904,1536765021168,1536765039108
u09_JOY_A0_2,18.105,18.068,1536765044371,1536765062476
u09_JOY_A0_3,10.375,10.356,1536765066295,1536765076670
u09_JOY_A0_4,42.305,42.224000000000004,1536765107165,1536765149470
u09_JOY_A0_5,42.297,42.216,1536765171005,1536765213302
u09_JOY_A0_6,19.139,19.1,1536765244516,1536765263655
u09_JOY_A0_7,18.91,18.876,1536765272205,1536765291115
u09_SNP_A0_4,86.311,86.132,1536867288693,1536867375004
u09_SNP_A0_5,380.248,379.452,1536867401037,1536867781285
u09_SNP_A0_6,90.447,90.256,1536867856424,1536867946871
u09_SNP_A0_7,89.714,89.524,1536867963045,1536868052759
u09_SNP_A0_1,43.189,43.1,1536868082434,1536868125623
u09_SNP_A0_2,46.507,46.408,1536868149324,1536868195831
u09_SNP_A0_3,11.306,11.28,1536868198827,1536868210133
u11_HA_A0_4,29.532,29.512,1541531178979,1541531208511
u11_HA_A0_5,78.235,78.184,1541531236889,1541531315124
u11_HA_A0_6,16.24,16.232,1541531340383,1541531356623
u11_HA_A0_7,21.456,21.444,1541531363394,1541531384850
u11_HA_A0_1,27.245,27.224,1541531398318,1541531425563
u11_HA_A0_2,26.378,26.36,1541531431365,1541531457743
u11_HA_A0_3,22.549,22.536,1541531459280,1541531481829
u11_JOY_A0_7,15.349,15.336,1541800162970,1541800178319
u11_JOY_A0_1,14.97,14.96,1541800195521,1541800210491
u11_JOY_A0_2,17.867,17.856,1541800216894,1541800234761
u11_JOY_A0_3,19.189,19.176000000000002,1541800236091,1541800255280
u11_JOY_A0_4,24.072,24.056,1541800272289,1541800296361
u11_JOY_A0_5,36.768,36.744,1541800318281,1541800355049
u11_JOY_A0_6,23.479,23.464000000000002,1541800380747,1541800404226
u11_SNP_A0_5,136.181,136.112,1539200581049,1539200717230
u11_SNP_A0_6,39.377,39.36,1539200809856,1539200849233
u11_SNP_A0_7,51.559,51.532000000000004,1539200852196,1539200903755
u11_SNP_A0_1,19.285,19.276,1539200922163,1539200941448
u11_SNP_A0_2,52.212,52.184000000000005,1539200962472,1539201014684
u11_SNP_A0_3,46.109,46.088,1539201017077,1539201063186
u11_SNP_A0_4,63.136,63.104,1539201105387,1539201168523
u12_HA_A0_6,14.187,14.18,1540590818592,1540590832779
u12_HA_A0_7,17.885,17.876,1540590836550,1540590854435
u12_HA_A0_1,5.419,5.416,1540590873453,1540590878872
u12_HA_A0_2,15.49,15.484,1540590887436,1540590902926
u12_HA_A0_3,11.356,11.352,1540590904518,1540590915874
u12_HA_A0_4,41.973,41.952,1540590925332,1540590967305
u12_HA_A0_5,52.55,52.524,1540591013312,1540591065862
u12_JOY_A0_5,32.697,32.616,1541546740522,1541546773219
u12_JOY_A0_6,14.187,14.152000000000001,1541546792271,1541546806458
u12_JOY_A0_7,6.576,6.5600000000000005,1541546810016,1541546816592
u12_JOY_A0_1,5.637,5.62,1541546829906,1541546835543
u12_JOY_A0_2,14.497,14.46,1541546839907,1541546854404
u12_JOY_A0_3,11.67,11.64,1541546855333,1541546867003
u12_JOY_A0_4,22.314,22.256,1541546879465,1541546901779
u12_SNP_A0_7,6.973,6.968,1540936743256,1540936750229
u12_SNP_A0_1,23.679,23.664,1540936776858,1540936800537
u12_SNP_A0_2,57.955,57.924,1540936825838,1540936883793
